metai,pozicija,partija
1996,desine,Tėvynės sąjunga  (Lietuvos konservatoriai)
1996,kaire,Lietuvos demokratinė darbo partija
1996,,Lietuvos centro sąjunga
1996,,Lietuvos piliečių aljansas
1996,kaire,Lietuvos socialdemokratų partija
1996,desine,Lietuvos krikščionių demokratų partija
1996,,Lietuvos rusų sąjunga
1996,kaire,Lietuvos lenkų rinkimų akcija
1996,,Lietuvos  moterų partija
1996,,Lietuvos liberalų sąjunga
1996,,Krikščionių demokratų sąjunga
1996,,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva"""
1996,,Lietuvių tautininkų sąjunga
1996,,Lietuvos socialistų partija
1996,,Lietuvos laisvės lyga
1996,,Lietuvos ūkio partija
1996,,Lietuvos politinių kalinių ir tremtinių sąjunga
1996,,Lietuvos valstiečių partija
1996,,Respublikonų partija
1996,,Lietuvos laisvės sąjunga
1996,,Lietuvos socialinio teisingumo sąjunga
1996,,Lietuvos liaudies partija
1996,,Lietuvos gyvenimo logikos partija
1996,,Tautos pažangos partija
2000,desine,Lietuvos liberalų sąjunga
2000,kaire,A.Brazausko socialdemokratinė koalicija
2000,kaire,Naujoji sąjunga (socialliberalai)
2000,desine,Tėvynės sąjunga  (Lietuvos konservatoriai)
2000,,Krikščionių demokratų sąjunga
2000,,Lietuvos centro sąjunga
2000,desine,Lietuvos krikščionių demokratų partija
2000,,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą"""
2000,kaire,Lietuvos lenkų rinkimų akcija
2000,,Nuosaikiųjų konservatorių sąjunga
2000,,Lietuvių tautininkų sąjunga
2000,,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga"
2000,,"Lietuvos partija ""Socialdemokratija 2000"""
2000,,Lietuvos valstiečių partija
2000,,Lietuvos laisvės sąjunga
2004,kaire,Darbo partija
2004,kaire,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai"""
2004,desine,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)"
2004,kaire,"Rolando Pakso koalicija ""Už tvarką ir teisingumą"""
2004,desine,Liberalų ir centro sąjunga
2004,,Valstiečių ir Naujosios demokratijos partijų sąjunga
2004,kaire,Lietuvos lenkų rinkimų akcija
2004,,Krikščionių konservatorių socialinė sąjunga
2004,,Lietuvos krikščionys demokratai
2004,,Nacionalinė centro partija
2004,,Respublikonų partija
2004,,Lietuvos socialdemokratų sąjunga
2004,,Lietuvos laisvės sąjunga
2004,,Tautinė partija Lietuvos kelias
2004,,Lietuvių tautininkų sąjunga
2008,desine,Tėvynės sąjunga - Lietuvos krikščionys demokratai
2008,protestas,Tautos prisikėlimo partija
2008,kaire,Partija Tvarka ir teisingumas
2008,kaire,Lietuvos socialdemokratų partija
2008,kaire,Koalicija Darbo partija + jaunimas
2008,desine,Lietuvos Respublikos liberalų sąjūdis
2008,desine,Liberalų ir centro sąjunga
2008,kaire,Lietuvos lenkų rinkimų akcija
2008,,Lietuvos valstiečių liaudininkų sąjunga
2008,,Naujoji sąjunga (socialliberalai)
2008,,"""Fronto"" partija"
2008,,"Partija ""Jaunoji Lietuva"""
2008,,Pilietinės demokratijos partija
2008,,Lietuvos rusų sąjunga
2008,,Lietuvos socialdemokratų sąjunga
2008,,Lietuvos centro partija
2012,kaire,Darbo partija
2012,kaire,Lietuvos socialdemokratų partija
2012,desine,Tėvynės sąjunga - Lietuvos krikščionys demokratai
2012,desine,Lietuvos Respublikos liberalų sąjūdis
2012,protestas,„Drąsos kelias“ politinė partija
2012,kaire,Partija Tvarka ir teisingumas
2012,kaire,Lietuvos lenkų rinkimų akcija
2012,,Lietuvos valstiečių ir žaliųjų sąjunga
2012,desine,Liberalų ir centro sąjunga
2012,desine,Politinė partija „Sąjunga Taip“
2012,,Socialistinis liaudies Frontas
2012,,Krikščionių partija
2012,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)"
2012,,Partija „Jaunoji Lietuva“
2012,,Demokratinė darbo ir vienybės partija
2012,,Emigrantų partija
2012,,Respublikonų partija
2012,,Lietuvos žmonių partija
